primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
United States	harvard 	7	Harvard University			no	1	1	110	breakthrough-000036,breakthrough-000053,breakthrough-000143,crafoord-000015,crafoord-000021,crafoord-000028,crafoord-000029,crafoord-000038,crafoord-000060,crafoord-000074,fields-000030,fields-000037,fields-000050,fields-000052,fields-000067,gairdner_international_award-000018,gairdner_international_award-000033,gairdner_international_award-000068,gairdner_international_award-000105,gairdner_international_award-000114,gairdner_international_award-000128,gairdner_international_award-000130,gairdner_international_award-000165,gairdner_international_award-000195,gairdner_international_award-000209,gairdner_international_award-000224,gairdner_international_award-000256,gairdner_international_award-000294,gairdner_international_award-000302,gairdner_international_award-000322,gairdner_international_award-000361,gairdner_international_award-000367,gairdner_international_award-000382,japan_prize-000003,japan_prize-000015,japan_prize-000040,japan_prize-000041,japan_prize-000063,japan_prize-000114,kyoto_prize-000036,kyoto_prize-000060,kyoto_prize-000122,lasker_awards-000011,lasker_awards-000030,lasker_awards-000039,lasker_awards-000047,lasker_awards-000050,lasker_awards-000099,lasker_awards-000191,lasker_awards-000207,lasker_awards-000229,lasker_awards-000233,lasker_awards-000258,lasker_awards-000260,lasker_awards-000287,lasker_awards-000317,lasker_awards-000325,nobel-000080,nobel-000176,nobel-000177,nobel-000232,nobel-000257,nobel-000272,nobel-000276,nobel-000281,nobel-000331,nobel-000339,nobel-000356,nobel-000362,nobel-000369,nobel-000383,nobel-000412,nobel-000421,nobel-000430,nobel-000464,nobel-000483,nobel-000503,nobel-000505,nobel-000508,nobel-000511,nobel-000522,nobel-000523,nobel-000525,nobel-000561,nobel-000600,nobel-000603,nobel-000679,nobel-000781,nobel-000825,nobel-000856,nobel-000904,nobel-000942,nobel-000944,nobel-000993,shaw_prize-000019,shaw_prize-000030,shaw_prize-000055,shaw_prize-000108,turing_award-000057,wolf_prize-000036,wolf_prize-000037,wolf_prize-000079,wolf_prize-000139,wolf_prize-000192,wolf_prize-000214,wolf_prize-000258,wolf_prize-000277,wolf_prize-000306,wolf_prize-000310,wolf_prize-000311
United States	harvard 	7	Harvard University	Howard Hughes Medical Institute		yes	2	1	2	breakthrough-000074,breakthrough-000089
United States	howard h	3	Howard Hughes Medical Institute			no	1	1	2	nobel-000854,nobel-000891
United States	howard h	3	Howard Hughes Medical Institute	Johns Hopkins University		yes	2	1	1	breakthrough-000011
United States	howard h	3	Howard Hughes Medical Institute	Memorial Sloan-Kettering Cancer Center		yes	2	1	1	breakthrough-000012
United States	institut	4	Institute for Advanced Study			no	1	1	36	abel_prize-000013,abel_prize-000019,abel_prize-000024,breakthrough-000005,breakthrough-000006,breakthrough-000008,breakthrough-000009,breakthrough-000038,breakthrough-000060,crafoord-000011,crafoord-000046,crafoord-000054,crafoord-000072,fields-000012,fields-000026,fields-000044,fields-000066,kyoto_prize-000029,kyoto_prize-000095,max_planck_medal-000035,nobel-000305,nobel-000795,shaw_prize-000017,shaw_prize-000020,shaw_prize-000036,shaw_prize-000110,shaw_prize-000120,turing_award-000077,wolf_prize-000013,wolf_prize-000040,wolf_prize-000049,wolf_prize-000080,wolf_prize-000115,wolf_prize-000164,wolf_prize-000250,wolf_prize-000251
United States	institut	4	Institute for Genomic Biology, University of Illinois			no	1	1	1	wolf_prize-000263
United States	institut	4	Institute for Physical Sciences and Technology, University of Maryland			no	1	1	1	japan_prize-000050
United States	institut	4	Institute for Systems Biology			no	1	1	2	kyoto_prize-000057,nobel-001020
United States	laborato	2	Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation			no	1	1	1	nobel-000262
United States	laborato	2	Laboratory for Interactive Learning			no	1	1	1	japan_prize-000067
United States	massachu	5	Massachusetts General Hospital			no	1	1	4	lasker_awards-000271,lasker_awards-000413,nobel-001009,wolf_prize-000295
